Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ökna;87520;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1957-12-01 00:00:00;1962-03-31 23:59:59;35.0;59.0833;16.3167

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1959-09-29 06:00:01;1959-09-30 06:00:00;1959-09-29;0.0;G
1959-09-30 06:00:01;1959-10-01 06:00:00;1959-09-30;0.0;G
1959-10-01 06:00:01;1959-10-02 06:00:00;1959-10-01;0.0;G
1959-10-02 06:00:01;1959-10-03 06:00:00;1959-10-02;0.0;G
1959-10-03 06:00:01;1959-10-04 06:00:00;1959-10-03;0.0;G
1959-10-04 06:00:01;1959-10-05 06:00:00;1959-10-04;0.0;G
1959-10-05 06:00:01;1959-10-06 06:00:00;1959-10-05;0.0;G
1959-10-06 06:00:01;1959-10-07 06:00:00;1959-10-06;0.0;G
1959-10-07 06:00:01;1959-10-08 06:00:00;1959-10-07;0.0;G
1959-10-08 06:00:01;1959-10-09 06:00:00;1959-10-08;0.0;G
1959-10-09 06:00:01;1959-10-10 06:00:00;1959-10-09;0.0;G
1959-10-10 06:00:01;1959-10-11 06:00:00;1959-10-10;0.0;G
1959-10-11 06:00:01;1959-10-12 06:00:00;1959-10-11;0.0;G
1959-10-12 06:00:01;1959-10-13 06:00:00;1959-10-12;0.0;G
1959-10-13 06:00:01;1959-10-14 06:00:00;1959-10-13;0.0;G
1959-10-14 06:00:01;1959-10-15 06:00:00;1959-10-14;0.0;G
1959-10-15 06:00:01;1959-10-16 06:00:00;1959-10-15;0.0;G
1959-10-16 06:00:01;1959-10-17 06:00:00;1959-10-16;0.0;G
1959-10-17 06:00:01;1959-10-18 06:00:00;1959-10-17;0.0;G
1959-10-18 06:00:01;1959-10-19 06:00:00;1959-10-18;0.5;G
1959-10-19 06:00:01;1959-10-20 06:00:00;1959-10-19;1.5;G
1959-10-20 06:00:01;1959-10-21 06:00:00;1959-10-20;7.0;G
1959-10-21 06:00:01;1959-10-22 06:00:00;1959-10-21;1.0;G
1959-10-22 06:00:01;1959-10-23 06:00:00;1959-10-22;0.0;G
1959-10-23 06:00:01;1959-10-24 06:00:00;1959-10-23;1.0;G
1959-10-24 06:00:01;1959-10-25 06:00:00;1959-10-24;7.5;G
1959-10-25 06:00:01;1959-10-26 06:00:00;1959-10-25;2.6;G
1959-10-26 06:00:01;1959-10-27 06:00:00;1959-10-26;1.3;G
1959-10-27 06:00:01;1959-10-28 06:00:00;1959-10-27;22.6;G
1959-10-28 06:00:01;1959-10-29 06:00:00;1959-10-28;0.0;G
1959-10-29 06:00:01;1959-10-30 06:00:00;1959-10-29;3.0;G
1959-10-30 06:00:01;1959-10-31 06:00:00;1959-10-30;6.3;G
1959-10-31 06:00:01;1959-11-01 06:00:00;1959-10-31;29.6;G
1959-11-01 06:00:01;1959-11-02 06:00:00;1959-11-01;0.0;G
1959-11-02 06:00:01;1959-11-03 06:00:00;1959-11-02;0.0;G
1959-11-03 06:00:01;1959-11-04 06:00:00;1959-11-03;0.0;G
1959-11-04 06:00:01;1959-11-05 06:00:00;1959-11-04;0.0;G
1959-11-05 06:00:01;1959-11-06 06:00:00;1959-11-05;0.0;G
1959-11-06 06:00:01;1959-11-07 06:00:00;1959-11-06;0.0;G
1959-11-07 06:00:01;1959-11-08 06:00:00;1959-11-07;0.0;G
1959-11-08 06:00:01;1959-11-09 06:00:00;1959-11-08;0.0;G
1959-11-09 06:00:01;1959-11-10 06:00:00;1959-11-09;0.0;G
1959-11-10 06:00:01;1959-11-11 06:00:00;1959-11-10;0.0;G
1959-11-11 06:00:01;1959-11-12 06:00:00;1959-11-11;0.0;G
1959-11-12 06:00:01;1959-11-13 06:00:00;1959-11-12;1.8;G
1959-11-13 06:00:01;1959-11-14 06:00:00;1959-11-13;10.1;G
1959-11-14 06:00:01;1959-11-15 06:00:00;1959-11-14;1.0;G
1959-11-15 06:00:01;1959-11-16 06:00:00;1959-11-15;0.0;G
1959-11-16 06:00:01;1959-11-17 06:00:00;1959-11-16;0.0;G
1959-11-17 06:00:01;1959-11-18 06:00:00;1959-11-17;2.4;G
1959-11-18 06:00:01;1959-11-19 06:00:00;1959-11-18;3.0;G
1959-11-19 06:00:01;1959-11-20 06:00:00;1959-11-19;7.2;G
1959-11-20 06:00:01;1959-11-21 06:00:00;1959-11-20;0.0;G
1959-11-21 06:00:01;1959-11-22 06:00:00;1959-11-21;0.0;G
1959-11-22 06:00:01;1959-11-23 06:00:00;1959-11-22;0.0;G
1959-11-23 06:00:01;1959-11-24 06:00:00;1959-11-23;3.2;G
1959-11-24 06:00:01;1959-11-25 06:00:00;1959-11-24;6.4;G
1959-11-25 06:00:01;1959-11-26 06:00:00;1959-11-25;0.0;G
1959-11-26 06:00:01;1959-11-27 06:00:00;1959-11-26;0.0;G
1959-11-27 06:00:01;1959-11-28 06:00:00;1959-11-27;5.6;G
1959-11-28 06:00:01;1959-11-29 06:00:00;1959-11-28;3.5;G
1959-11-29 06:00:01;1959-11-30 06:00:00;1959-11-29;0.0;G
1959-11-30 06:00:01;1959-12-01 06:00:00;1959-11-30;0.0;G
1959-12-01 06:00:01;1959-12-02 06:00:00;1959-12-01;0.0;G
1959-12-02 06:00:01;1959-12-03 06:00:00;1959-12-02;2.0;G
1959-12-03 06:00:01;1959-12-04 06:00:00;1959-12-03;7.0;G
1959-12-04 06:00:01;1959-12-05 06:00:00;1959-12-04;0.0;G
1959-12-05 06:00:01;1959-12-06 06:00:00;1959-12-05;3.2;G
1959-12-06 06:00:01;1959-12-07 06:00:00;1959-12-06;1.0;G
1959-12-07 06:00:01;1959-12-08 06:00:00;1959-12-07;0.0;G
1959-12-08 06:00:01;1959-12-09 06:00:00;1959-12-08;0.0;G
1959-12-09 06:00:01;1959-12-10 06:00:00;1959-12-09;0.0;G
1959-12-10 06:00:01;1959-12-11 06:00:00;1959-12-10;0.0;G
1959-12-11 06:00:01;1959-12-12 06:00:00;1959-12-11;0.0;G
1959-12-12 06:00:01;1959-12-13 06:00:00;1959-12-12;0.0;G
1959-12-13 06:00:01;1959-12-14 06:00:00;1959-12-13;0.0;G
1959-12-14 06:00:01;1959-12-15 06:00:00;1959-12-14;0.0;G
1959-12-15 06:00:01;1959-12-16 06:00:00;1959-12-15;0.0;G
1959-12-16 06:00:01;1959-12-17 06:00:00;1959-12-16;0.0;G
1959-12-17 06:00:01;1959-12-18 06:00:00;1959-12-17;4.0;G
1959-12-18 06:00:01;1959-12-19 06:00:00;1959-12-18;0.5;G
1959-12-19 06:00:01;1959-12-20 06:00:00;1959-12-19;0.0;G
1959-12-20 06:00:01;1959-12-21 06:00:00;1959-12-20;0.0;G
1959-12-21 06:00:01;1959-12-22 06:00:00;1959-12-21;0.0;G
1959-12-22 06:00:01;1959-12-23 06:00:00;1959-12-22;0.0;G
1959-12-23 06:00:01;1959-12-24 06:00:00;1959-12-23;0.0;G
1959-12-24 06:00:01;1959-12-25 06:00:00;1959-12-24;0.0;G
1959-12-25 06:00:01;1959-12-26 06:00:00;1959-12-25;7.5;G
1959-12-26 06:00:01;1959-12-27 06:00:00;1959-12-26;3.5;G
1959-12-27 06:00:01;1959-12-28 06:00:00;1959-12-27;2.0;G
1959-12-28 06:00:01;1959-12-29 06:00:00;1959-12-28;0.0;G
1959-12-29 06:00:01;1959-12-30 06:00:00;1959-12-29;3.4;G
1959-12-30 06:00:01;1959-12-31 06:00:00;1959-12-30;2.4;G
1959-12-31 06:00:01;1960-01-01 06:00:00;1959-12-31;1.5;G
1960-01-01 06:00:01;1960-01-02 06:00:00;1960-01-01;3.5;G
1960-01-02 06:00:01;1960-01-03 06:00:00;1960-01-02;0.0;G
1960-01-03 06:00:01;1960-01-04 06:00:00;1960-01-03;0.6;G
1960-01-04 06:00:01;1960-01-05 06:00:00;1960-01-04;5.0;G
1960-01-05 06:00:01;1960-01-06 06:00:00;1960-01-05;17.4;G
1960-01-06 06:00:01;1960-01-07 06:00:00;1960-01-06;1.6;G
1960-01-07 06:00:01;1960-01-08 06:00:00;1960-01-07;0.5;G
1960-01-08 06:00:01;1960-01-09 06:00:00;1960-01-08;0.0;G
1960-01-09 06:00:01;1960-01-10 06:00:00;1960-01-09;1.0;G
1960-01-10 06:00:01;1960-01-11 06:00:00;1960-01-10;12.8;G
1960-01-11 06:00:01;1960-01-12 06:00:00;1960-01-11;3.5;G
1960-01-12 06:00:01;1960-01-13 06:00:00;1960-01-12;0.0;G
1960-01-13 06:00:01;1960-01-14 06:00:00;1960-01-13;0.0;G
1960-01-14 06:00:01;1960-01-15 06:00:00;1960-01-14;0.0;G
1960-01-15 06:00:01;1960-01-16 06:00:00;1960-01-15;0.0;G
1960-01-16 06:00:01;1960-01-17 06:00:00;1960-01-16;0.0;G
1960-01-17 06:00:01;1960-01-18 06:00:00;1960-01-17;7.3;G
1960-01-18 06:00:01;1960-01-19 06:00:00;1960-01-18;0.0;G
1960-01-19 06:00:01;1960-01-20 06:00:00;1960-01-19;0.0;G
1960-01-20 06:00:01;1960-01-21 06:00:00;1960-01-20;0.0;G
1960-01-21 06:00:01;1960-01-22 06:00:00;1960-01-21;0.0;G
1960-01-22 06:00:01;1960-01-23 06:00:00;1960-01-22;3.7;G
1960-01-23 06:00:01;1960-01-24 06:00:00;1960-01-23;3.6;G
1960-01-24 06:00:01;1960-01-25 06:00:00;1960-01-24;1.5;G
1960-01-25 06:00:01;1960-01-26 06:00:00;1960-01-25;1.8;G
1960-01-26 06:00:01;1960-01-27 06:00:00;1960-01-26;0.0;G
1960-01-27 06:00:01;1960-01-28 06:00:00;1960-01-27;0.0;G
1960-01-28 06:00:01;1960-01-29 06:00:00;1960-01-28;0.0;G
1960-01-29 06:00:01;1960-01-30 06:00:00;1960-01-29;1.4;G
1960-01-30 06:00:01;1960-01-31 06:00:00;1960-01-30;0.0;G
1960-01-31 06:00:01;1960-02-01 06:00:00;1960-01-31;0.0;G
1960-02-01 06:00:01;1960-02-02 06:00:00;1960-02-01;0.0;G
1960-02-02 06:00:01;1960-02-03 06:00:00;1960-02-02;0.0;G
1960-02-03 06:00:01;1960-02-04 06:00:00;1960-02-03;0.0;G
1960-02-04 06:00:01;1960-02-05 06:00:00;1960-02-04;0.0;G
1960-02-05 06:00:01;1960-02-06 06:00:00;1960-02-05;0.0;G
1960-02-06 06:00:01;1960-02-07 06:00:00;1960-02-06;0.0;G
1960-02-07 06:00:01;1960-02-08 06:00:00;1960-02-07;0.0;G
1960-02-08 06:00:01;1960-02-09 06:00:00;1960-02-08;0.0;G
1960-02-09 06:00:01;1960-02-10 06:00:00;1960-02-09;0.0;G
1960-02-10 06:00:01;1960-02-11 06:00:00;1960-02-10;0.0;G
1960-02-11 06:00:01;1960-02-12 06:00:00;1960-02-11;0.0;G
1960-02-12 06:00:01;1960-02-13 06:00:00;1960-02-12;0.0;G
1960-02-13 06:00:01;1960-02-14 06:00:00;1960-02-13;0.0;G
1960-02-14 06:00:01;1960-02-15 06:00:00;1960-02-14;0.0;G
1960-02-15 06:00:01;1960-02-16 06:00:00;1960-02-15;5.8;G
1960-02-16 06:00:01;1960-02-17 06:00:00;1960-02-16;2.6;G
1960-02-17 06:00:01;1960-02-18 06:00:00;1960-02-17;5.8;G
1960-02-18 06:00:01;1960-02-19 06:00:00;1960-02-18;0.0;G
1960-02-19 06:00:01;1960-02-20 06:00:00;1960-02-19;0.0;G
1960-02-20 06:00:01;1960-02-21 06:00:00;1960-02-20;3.2;G
1960-02-21 06:00:01;1960-02-22 06:00:00;1960-02-21;0.0;G
1960-02-22 06:00:01;1960-02-23 06:00:00;1960-02-22;0.0;G
1960-02-23 06:00:01;1960-02-24 06:00:00;1960-02-23;0.0;G
1960-02-24 06:00:01;1960-02-25 06:00:00;1960-02-24;0.0;G
1960-02-25 06:00:01;1960-02-26 06:00:00;1960-02-25;0.0;G
1960-02-26 06:00:01;1960-02-27 06:00:00;1960-02-26;5.5;G
1960-02-27 06:00:01;1960-02-28 06:00:00;1960-02-27;0.0;G
1960-02-28 06:00:01;1960-02-29 06:00:00;1960-02-28;0.0;G
1960-02-29 06:00:01;1960-03-01 06:00:00;1960-02-29;0.0;G
1960-03-01 06:00:01;1960-03-02 06:00:00;1960-03-01;5.5;G
1960-03-02 06:00:01;1960-03-03 06:00:00;1960-03-02;1.8;G
1960-03-03 06:00:01;1960-03-04 06:00:00;1960-03-03;0.0;G
1960-03-04 06:00:01;1960-03-05 06:00:00;1960-03-04;0.0;G
1960-03-05 06:00:01;1960-03-06 06:00:00;1960-03-05;0.0;G
1960-03-06 06:00:01;1960-03-07 06:00:00;1960-03-06;0.0;G
1960-03-07 06:00:01;1960-03-08 06:00:00;1960-03-07;0.0;G
1960-03-08 06:00:01;1960-03-09 06:00:00;1960-03-08;0.0;G
1960-03-09 06:00:01;1960-03-10 06:00:00;1960-03-09;0.0;G
1960-03-10 06:00:01;1960-03-11 06:00:00;1960-03-10;0.0;G
1960-03-11 06:00:01;1960-03-12 06:00:00;1960-03-11;0.0;G
1960-03-12 06:00:01;1960-03-13 06:00:00;1960-03-12;0.0;G
1960-03-13 06:00:01;1960-03-14 06:00:00;1960-03-13;0.0;G
1960-03-14 06:00:01;1960-03-15 06:00:00;1960-03-14;6.0;G
1960-03-15 06:00:01;1960-03-16 06:00:00;1960-03-15;0.0;G
1960-03-16 06:00:01;1960-03-17 06:00:00;1960-03-16;0.0;G
1960-03-17 06:00:01;1960-03-18 06:00:00;1960-03-17;0.0;G
1960-03-18 06:00:01;1960-03-19 06:00:00;1960-03-18;0.0;G
1960-03-19 06:00:01;1960-03-20 06:00:00;1960-03-19;0.0;G
1960-03-20 06:00:01;1960-03-21 06:00:00;1960-03-20;0.0;G
1960-03-21 06:00:01;1960-03-22 06:00:00;1960-03-21;0.0;G
1960-03-22 06:00:01;1960-03-23 06:00:00;1960-03-22;0.0;G
1960-03-23 06:00:01;1960-03-24 06:00:00;1960-03-23;0.0;G
1960-03-24 06:00:01;1960-03-25 06:00:00;1960-03-24;0.0;G
1960-03-25 06:00:01;1960-03-26 06:00:00;1960-03-25;0.0;G
1960-03-26 06:00:01;1960-03-27 06:00:00;1960-03-26;0.0;G
1960-03-27 06:00:01;1960-03-28 06:00:00;1960-03-27;0.0;G
1960-03-28 06:00:01;1960-03-29 06:00:00;1960-03-28;0.0;G
1960-03-29 06:00:01;1960-03-30 06:00:00;1960-03-29;0.0;G
1960-03-30 06:00:01;1960-03-31 06:00:00;1960-03-30;0.0;G
1960-03-31 06:00:01;1960-04-01 06:00:00;1960-03-31;0.0;G
1960-04-01 06:00:01;1960-04-02 06:00:00;1960-04-01;0.0;G
1960-04-02 06:00:01;1960-04-03 06:00:00;1960-04-02;0.0;G
1960-04-03 06:00:01;1960-04-04 06:00:00;1960-04-03;0.0;G
1960-04-04 06:00:01;1960-04-05 06:00:00;1960-04-04;0.0;G
1960-04-05 06:00:01;1960-04-06 06:00:00;1960-04-05;0.0;G
1960-04-06 06:00:01;1960-04-07 06:00:00;1960-04-06;0.0;G
1960-04-07 06:00:01;1960-04-08 06:00:00;1960-04-07;0.0;G
1960-04-08 06:00:01;1960-04-09 06:00:00;1960-04-08;0.0;G
1960-04-09 06:00:01;1960-04-10 06:00:00;1960-04-09;0.0;G
1960-04-10 06:00:01;1960-04-11 06:00:00;1960-04-10;0.0;G
1960-04-11 06:00:01;1960-04-12 06:00:00;1960-04-11;4.5;G
1960-04-12 06:00:01;1960-04-13 06:00:00;1960-04-12;2.2;G
1960-04-13 06:00:01;1960-04-14 06:00:00;1960-04-13;0.0;G
1960-04-14 06:00:01;1960-04-15 06:00:00;1960-04-14;0.0;G
1960-04-15 06:00:01;1960-04-16 06:00:00;1960-04-15;0.0;G
1960-04-16 06:00:01;1960-04-17 06:00:00;1960-04-16;0.0;G
1960-04-17 06:00:01;1960-04-18 06:00:00;1960-04-17;0.0;G
1960-04-18 06:00:01;1960-04-19 06:00:00;1960-04-18;0.0;G
1960-04-19 06:00:01;1960-04-20 06:00:00;1960-04-19;0.0;G
1960-04-20 06:00:01;1960-04-21 06:00:00;1960-04-20;0.0;G
1960-04-21 06:00:01;1960-04-22 06:00:00;1960-04-21;0.0;G
1960-04-22 06:00:01;1960-04-23 06:00:00;1960-04-22;0.0;G
1960-04-23 06:00:01;1960-04-24 06:00:00;1960-04-23;0.0;G
1960-04-24 06:00:01;1960-04-25 06:00:00;1960-04-24;10.3;G
1960-04-25 06:00:01;1960-04-26 06:00:00;1960-04-25;3.8;G
1960-04-26 06:00:01;1960-04-27 06:00:00;1960-04-26;3.6;G
1960-04-27 06:00:01;1960-04-28 06:00:00;1960-04-27;3.5;G
1960-04-28 06:00:01;1960-04-29 06:00:00;1960-04-28;0.0;G
1960-04-29 06:00:01;1960-04-30 06:00:00;1960-04-29;0.0;G
1960-04-30 06:00:01;1960-05-01 06:00:00;1960-04-30;0.0;G
1960-05-01 06:00:01;1960-05-02 06:00:00;1960-05-01;3.0;G
1960-05-02 06:00:01;1960-05-03 06:00:00;1960-05-02;8.5;G
1960-05-03 06:00:01;1960-05-04 06:00:00;1960-05-03;6.3;G
1960-05-04 06:00:01;1960-05-05 06:00:00;1960-05-04;3.0;G
1960-05-05 06:00:01;1960-05-06 06:00:00;1960-05-05;0.0;G
1960-05-06 06:00:01;1960-05-07 06:00:00;1960-05-06;0.0;G
1960-05-07 06:00:01;1960-05-08 06:00:00;1960-05-07;0.0;G
1960-05-08 06:00:01;1960-05-09 06:00:00;1960-05-08;0.0;G
1960-05-09 06:00:01;1960-05-10 06:00:00;1960-05-09;0.0;G
1960-05-10 06:00:01;1960-05-11 06:00:00;1960-05-10;0.0;G
1960-05-11 06:00:01;1960-05-12 06:00:00;1960-05-11;0.0;G
1960-05-12 06:00:01;1960-05-13 06:00:00;1960-05-12;0.0;G
1960-05-13 06:00:01;1960-05-14 06:00:00;1960-05-13;0.0;G
1960-05-14 06:00:01;1960-05-15 06:00:00;1960-05-14;0.0;G
1960-05-15 06:00:01;1960-05-16 06:00:00;1960-05-15;0.0;G
1960-05-16 06:00:01;1960-05-17 06:00:00;1960-05-16;0.0;G
1960-05-17 06:00:01;1960-05-18 06:00:00;1960-05-17;0.0;G
1960-05-18 06:00:01;1960-05-19 06:00:00;1960-05-18;0.0;G
1960-05-19 06:00:01;1960-05-20 06:00:00;1960-05-19;0.0;G
1960-05-20 06:00:01;1960-05-21 06:00:00;1960-05-20;0.0;G
1960-05-21 06:00:01;1960-05-22 06:00:00;1960-05-21;0.0;G
1960-05-22 06:00:01;1960-05-23 06:00:00;1960-05-22;0.0;G
1960-05-23 06:00:01;1960-05-24 06:00:00;1960-05-23;0.0;G
1960-05-24 06:00:01;1960-05-25 06:00:00;1960-05-24;1.0;G
1960-05-25 06:00:01;1960-05-26 06:00:00;1960-05-25;0.0;G
1960-05-26 06:00:01;1960-05-27 06:00:00;1960-05-26;0.0;G
1960-05-27 06:00:01;1960-05-28 06:00:00;1960-05-27;0.0;G
1960-05-28 06:00:01;1960-05-29 06:00:00;1960-05-28;4.0;G
1960-05-29 06:00:01;1960-05-30 06:00:00;1960-05-29;9.5;G
1960-05-30 06:00:01;1960-05-31 06:00:00;1960-05-30;0.0;G
1960-05-31 06:00:01;1960-06-01 06:00:00;1960-05-31;0.0;G
1960-06-01 06:00:01;1960-06-02 06:00:00;1960-06-01;0.0;G
1960-06-02 06:00:01;1960-06-03 06:00:00;1960-06-02;0.0;G
1960-06-03 06:00:01;1960-06-04 06:00:00;1960-06-03;0.0;G
1960-06-04 06:00:01;1960-06-05 06:00:00;1960-06-04;0.0;G
1960-06-05 06:00:01;1960-06-06 06:00:00;1960-06-05;0.0;G
1960-06-06 06:00:01;1960-06-07 06:00:00;1960-06-06;2.5;G
1960-06-07 06:00:01;1960-06-08 06:00:00;1960-06-07;0.0;G
1960-06-08 06:00:01;1960-06-09 06:00:00;1960-06-08;0.0;G
1960-06-09 06:00:01;1960-06-10 06:00:00;1960-06-09;7.2;G
1960-06-10 06:00:01;1960-06-11 06:00:00;1960-06-10;0.0;G
1960-06-11 06:00:01;1960-06-12 06:00:00;1960-06-11;2.5;G
1960-06-12 06:00:01;1960-06-13 06:00:00;1960-06-12;0.0;G
1960-06-13 06:00:01;1960-06-14 06:00:00;1960-06-13;0.0;G
1960-06-14 06:00:01;1960-06-15 06:00:00;1960-06-14;0.0;G
1960-06-15 06:00:01;1960-06-16 06:00:00;1960-06-15;0.0;G
1960-06-16 06:00:01;1960-06-17 06:00:00;1960-06-16;0.0;G
1960-06-17 06:00:01;1960-06-18 06:00:00;1960-06-17;2.3;G
1960-06-18 06:00:01;1960-06-19 06:00:00;1960-06-18;0.0;G
1960-06-19 06:00:01;1960-06-20 06:00:00;1960-06-19;0.0;G
1960-06-20 06:00:01;1960-06-21 06:00:00;1960-06-20;0.0;G
1960-06-21 06:00:01;1960-06-22 06:00:00;1960-06-21;0.0;G
1960-06-22 06:00:01;1960-06-23 06:00:00;1960-06-22;0.0;G
1960-06-23 06:00:01;1960-06-24 06:00:00;1960-06-23;0.0;G
1960-06-24 06:00:01;1960-06-25 06:00:00;1960-06-24;1.3;G
1960-06-25 06:00:01;1960-06-26 06:00:00;1960-06-25;0.0;G
1960-06-26 06:00:01;1960-06-27 06:00:00;1960-06-26;0.0;G
1960-06-27 06:00:01;1960-06-28 06:00:00;1960-06-27;0.0;G
1960-06-28 06:00:01;1960-06-29 06:00:00;1960-06-28;0.0;G
1960-06-29 06:00:01;1960-06-30 06:00:00;1960-06-29;14.3;G
1960-06-30 06:00:01;1960-07-01 06:00:00;1960-06-30;7.0;G
1960-07-01 06:00:01;1960-07-02 06:00:00;1960-07-01;0.0;G
1960-07-02 06:00:01;1960-07-03 06:00:00;1960-07-02;10.6;G
1960-07-03 06:00:01;1960-07-04 06:00:00;1960-07-03;19.5;G
1960-07-04 06:00:01;1960-07-05 06:00:00;1960-07-04;2.0;G
1960-07-05 06:00:01;1960-07-06 06:00:00;1960-07-05;3.1;G
1960-07-06 06:00:01;1960-07-07 06:00:00;1960-07-06;4.0;G
1960-07-07 06:00:01;1960-07-08 06:00:00;1960-07-07;0.5;G
1960-07-08 06:00:01;1960-07-09 06:00:00;1960-07-08;0.0;G
1960-07-09 06:00:01;1960-07-10 06:00:00;1960-07-09;5.8;G
1960-07-10 06:00:01;1960-07-11 06:00:00;1960-07-10;0.0;G
1960-07-11 06:00:01;1960-07-12 06:00:00;1960-07-11;2.8;G
1960-07-12 06:00:01;1960-07-13 06:00:00;1960-07-12;8.0;G
1960-07-13 06:00:01;1960-07-14 06:00:00;1960-07-13;0.0;G
1960-07-14 06:00:01;1960-07-15 06:00:00;1960-07-14;1.0;G
1960-07-15 06:00:01;1960-07-16 06:00:00;1960-07-15;0.0;G
1960-07-16 06:00:01;1960-07-17 06:00:00;1960-07-16;4.0;G
1960-07-17 06:00:01;1960-07-18 06:00:00;1960-07-17;0.0;G
1960-07-18 06:00:01;1960-07-19 06:00:00;1960-07-18;3.7;G
1960-07-19 06:00:01;1960-07-20 06:00:00;1960-07-19;0.0;G
1960-07-20 06:00:01;1960-07-21 06:00:00;1960-07-20;0.0;G
1960-07-21 06:00:01;1960-07-22 06:00:00;1960-07-21;0.5;G
1960-07-22 06:00:01;1960-07-23 06:00:00;1960-07-22;3.2;G
1960-07-23 06:00:01;1960-07-24 06:00:00;1960-07-23;0.0;G
1960-07-24 06:00:01;1960-07-25 06:00:00;1960-07-24;9.2;G
1960-07-25 06:00:01;1960-07-26 06:00:00;1960-07-25;1.0;G
1960-07-26 06:00:01;1960-07-27 06:00:00;1960-07-26;0.0;G
1960-07-27 06:00:01;1960-07-28 06:00:00;1960-07-27;6.5;G
1960-07-28 06:00:01;1960-07-29 06:00:00;1960-07-28;0.0;G
1960-07-29 06:00:01;1960-07-30 06:00:00;1960-07-29;2.6;G
1960-07-30 06:00:01;1960-07-31 06:00:00;1960-07-30;0.0;G
1960-07-31 06:00:01;1960-08-01 06:00:00;1960-07-31;0.0;G
1960-08-01 06:00:01;1960-08-02 06:00:00;1960-08-01;0.0;G
1960-08-02 06:00:01;1960-08-03 06:00:00;1960-08-02;0.0;G
1960-08-03 06:00:01;1960-08-04 06:00:00;1960-08-03;26.2;G
1960-08-04 06:00:01;1960-08-05 06:00:00;1960-08-04;0.0;G
1960-08-05 06:00:01;1960-08-06 06:00:00;1960-08-05;0.0;G
1960-08-06 06:00:01;1960-08-07 06:00:00;1960-08-06;0.5;G
1960-08-07 06:00:01;1960-08-08 06:00:00;1960-08-07;10.7;G
1960-08-08 06:00:01;1960-08-09 06:00:00;1960-08-08;28.4;G
1960-08-09 06:00:01;1960-08-10 06:00:00;1960-08-09;9.0;G
1960-08-10 06:00:01;1960-08-11 06:00:00;1960-08-10;11.6;G
1960-08-11 06:00:01;1960-08-12 06:00:00;1960-08-11;17.4;G
1960-08-12 06:00:01;1960-08-13 06:00:00;1960-08-12;5.8;G
1960-08-13 06:00:01;1960-08-14 06:00:00;1960-08-13;0.0;G
1960-08-14 06:00:01;1960-08-15 06:00:00;1960-08-14;23.2;G
1960-08-15 06:00:01;1960-08-16 06:00:00;1960-08-15;9.2;G
1960-08-16 06:00:01;1960-08-17 06:00:00;1960-08-16;0.0;G
1960-08-17 06:00:01;1960-08-18 06:00:00;1960-08-17;0.0;G
1960-08-18 06:00:01;1960-08-19 06:00:00;1960-08-18;0.0;G
1960-08-19 06:00:01;1960-08-20 06:00:00;1960-08-19;17.2;G
1960-08-20 06:00:01;1960-08-21 06:00:00;1960-08-20;0.0;G
1960-08-21 06:00:01;1960-08-22 06:00:00;1960-08-21;3.6;G
1960-08-22 06:00:01;1960-08-23 06:00:00;1960-08-22;6.2;G
1960-08-23 06:00:01;1960-08-24 06:00:00;1960-08-23;18.4;G
1960-08-24 06:00:01;1960-08-25 06:00:00;1960-08-24;1.4;G
1960-08-25 06:00:01;1960-08-26 06:00:00;1960-08-25;6.3;G
1960-08-26 06:00:01;1960-08-27 06:00:00;1960-08-26;5.0;G
1960-08-27 06:00:01;1960-08-28 06:00:00;1960-08-27;0.0;G
1960-08-28 06:00:01;1960-08-29 06:00:00;1960-08-28;4.6;G
1960-08-29 06:00:01;1960-08-30 06:00:00;1960-08-29;33.2;G
1960-08-30 06:00:01;1960-08-31 06:00:00;1960-08-30;13.6;G
1960-08-31 06:00:01;1960-09-01 06:00:00;1960-08-31;0.5;G
1960-09-01 06:00:01;1960-09-02 06:00:00;1960-09-01;0.0;G
1960-09-02 06:00:01;1960-09-03 06:00:00;1960-09-02;1.5;G
1960-09-03 06:00:01;1960-09-04 06:00:00;1960-09-03;0.0;G
1960-09-04 06:00:01;1960-09-05 06:00:00;1960-09-04;3.6;G
1960-09-05 06:00:01;1960-09-06 06:00:00;1960-09-05;6.8;G
1960-09-06 06:00:01;1960-09-07 06:00:00;1960-09-06;1.0;G
1960-09-07 06:00:01;1960-09-08 06:00:00;1960-09-07;0.0;G
1960-09-08 06:00:01;1960-09-09 06:00:00;1960-09-08;0.0;G
1960-09-09 06:00:01;1960-09-10 06:00:00;1960-09-09;0.0;G
1960-09-10 06:00:01;1960-09-11 06:00:00;1960-09-10;0.0;G
1960-09-11 06:00:01;1960-09-12 06:00:00;1960-09-11;0.0;G
1960-09-12 06:00:01;1960-09-13 06:00:00;1960-09-12;0.0;G
1960-09-13 06:00:01;1960-09-14 06:00:00;1960-09-13;0.0;G
